{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    1.0070 -0.1607 -0.0265
  -4.889 -4.716  5  10  121    1.0158  0.0518  0.5000
  -4.716 -4.538  5  10  145    1.0675 -0.2226 -0.5000
  -4.538 -4.363  5  10  173    0.9593  0.0750  0.3710
  -4.363 -4.191  5  10  205    0.9116  0.0315  0.3828
  -4.191 -4.013  5  10  245    0.9875 -0.1075 -0.0888
  -4.013 -3.839  5  10  292    0.9412  0.1010  0.3953
  -3.839 -3.664  5  10  348    1.0050 -0.0758 -0.1225
  -3.664 -3.489  5  10  414    0.9636  0.0329  0.2080
  -3.489 -3.314  5  10  493    0.9824  0.0328  0.1262
  -3.314 -3.139  5  10  588    0.9490  0.0690  0.2350
  -3.139 -2.964  5  10  700    0.8719  0.1180  0.5000
  -2.964 -2.853  5  10  781    0.7715  0.1288 -0.1073
  -2.853 -2.650  5  10  956    0.7566  0.1167  0.3084
  -2.650 -2.500  5  10 1108    0.7924  0.1319  0.2448
  -2.500 -2.322  5  10 1321    0.8907  0.0860  0.1382
  -2.322 -2.172  5  10 1529    0.9836  0.0141 -0.3556
  -2.172 -2.043  5  10 1733    0.9596  0.0270 -0.0944
  -2.043 -1.930  5  10 1933    0.9649  0.0343 -0.0513
  -1.930 -1.830  5  10 2126    0.9685  0.0474 -0.0359
  -1.830 -1.740  5  10 2315    0.9729  0.0430 -0.0444
  -1.740 -1.653  5  10 2511    0.9616  0.0522  0.0202
  -1.653 -1.566  5  10 2721    0.9622  0.0538  0.0157
  -1.566 -1.479  5  10 2946    0.9521  0.0366  0.0904
  -1.479 -1.392  5  10 3183    1.0123 -0.0385 -0.3301
  -1.392 -1.305  5  10 3435    1.0097 -0.0228 -0.1994
  -1.305 -1.218  5  10 3699    1.0133 -0.0168 -0.1677
  -1.218 -1.131  5  10 3974    0.9998 -0.0109 -0.0736
  -1.131 -1.044  5  10 4259    0.9976 -0.0134 -0.0537
  -1.044 -0.957  5  10 4551    1.0028 -0.0061 -0.0757
  -0.957 -0.879  5  10 4816    1.0030 -0.0091 -0.0702
  -0.879 -0.783  5  10 5141    1.0047 -0.0082 -0.0297
  -0.783 -0.696  5  10 5430    0.9904  0.0147  0.1032
  -0.696 -0.609  5  10 5708    1.0054 -0.0013  0.0052
  -0.609 -0.522  5  10 5968    1.0061 -0.0074 -0.0254
  -0.522 -0.435  5  10 6203    0.9943  0.0056  0.0373
  -0.435 -0.348  5  10 6408    0.9998 -0.0019  0.0046
  -0.348 -0.261  5  10 6574    0.9915  0.0155  0.0979
  -0.261 -0.174  5  10 6698    1.0056  0.0053 -0.0002
  -0.174 -0.087  5  10 6774    0.9982  0.0092  0.0699
  -0.087 -0.000  5  10 6800    0.9919  0.0079  0.0824
  +0.000 +0.087  5  10 6800    0.9919  0.0079  0.0824
  +0.087 +0.174  5  10 6774    0.9982  0.0092  0.0699
  +0.174 +0.261  5  10 6698    1.0056  0.0053 -0.0002
  +0.261 +0.348  5  10 6574    0.9915  0.0155  0.0979
  +0.348 +0.435  5  10 6408    0.9998 -0.0019  0.0046
  +0.435 +0.522  5  10 6203    0.9943  0.0056  0.0373
  +0.522 +0.609  5  10 5968    1.0061 -0.0074 -0.0254
  +0.609 +0.696  5  10 5708    1.0054 -0.0013  0.0052
  +0.696 +0.783  5  10 5430    0.9904  0.0147  0.1032
  +0.783 +0.879  5  10 5141    1.0047 -0.0082 -0.0297
  +0.879 +0.957  5  10 4816    1.0030 -0.0091 -0.0702
  +0.957 +1.044  5  10 4551    1.0028 -0.0061 -0.0757
  +1.044 +1.131  5  10 4259    0.9976 -0.0134 -0.0537
  +1.131 +1.218  5  10 3974    0.9998 -0.0109 -0.0736
  +1.218 +1.305  5  10 3699    1.0133 -0.0168 -0.1677
  +1.305 +1.392  5  10 3435    1.0097 -0.0228 -0.1994
  +1.392 +1.479  5  10 3183    1.0123 -0.0385 -0.3301
  +1.479 +1.566  5  10 2946    0.9521  0.0366  0.0904
  +1.566 +1.653  5  10 2721    0.9622  0.0538  0.0157
  +1.653 +1.740  5  10 2511    0.9616  0.0522  0.0202
  +1.740 +1.830  5  10 2315    0.9729  0.0430 -0.0444
  +1.830 +1.930  5  10 2126    0.9685  0.0474 -0.0359
  +1.930 +2.043  5  10 1933    0.9649  0.0343 -0.0513
  +2.043 +2.172  5  10 1733    0.9596  0.0270 -0.0944
  +2.172 +2.322  5  10 1529    0.9836  0.0141 -0.3556
  +2.322 +2.500  5  10 1321    0.8907  0.0860  0.1382
  +2.500 +2.650  5  10 1108    0.7924  0.1319  0.2448
  +2.650 +2.853  5  10  956    0.7566  0.1167  0.3084
  +2.853 +2.964  5  10  781    0.7715  0.1288 -0.1073
  +2.964 +3.139  5  10  700    0.8719  0.1180  0.5000
  +3.139 +3.314  5  10  588    0.9490  0.0690  0.2350
  +3.314 +3.489  5  10  493    0.9824  0.0328  0.1262
  +3.489 +3.664  5  10  414    0.9636  0.0329  0.2080
  +3.664 +3.839  5  10  348    1.0050 -0.0758 -0.1225
  +3.839 +4.013  5  10  292    0.9412  0.1010  0.3953
  +4.013 +4.191  5  10  245    0.9875 -0.1075 -0.0888
  +4.191 +4.363  5  10  205    0.9116  0.0315  0.3828
  +4.363 +4.538  5  10  173    0.9593  0.0750  0.3710
  +4.538 +4.716  5  10  145    1.0675 -0.2226 -0.5000
  +4.716 +4.889  5  10  121    1.0158  0.0518  0.5000
  +4.889 +5.191  5  10  102    1.0070 -0.1607 -0.0265
