{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.9816  0.1804  0.4362
  -4.889 -4.716  5  10  121    0.9767  0.1809  0.5000
  -4.716 -4.538  5  10  145    0.9949 -0.1128 -0.1527
  -4.538 -4.363  5  10  173    0.9552  0.0066  0.0015
  -4.363 -4.191  5  10  205    0.9529 -0.0822 -0.1752
  -4.191 -4.013  5  10  245    0.9586 -0.0487 -0.0809
  -4.013 -3.839  5  10  292    0.9328  0.0460  0.1344
  -3.839 -3.664  5  10  348    0.9454  0.0375  0.0890
  -3.664 -3.489  5  10  414    0.9390  0.0427  0.1707
  -3.489 -3.314  5  10  493    0.9743  0.0180 -0.0096
  -3.314 -3.139  5  10  588    0.9546  0.0538  0.1017
  -3.139 -2.964  5  10  700    0.8830  0.0871  0.3620
  -2.964 -2.853  5  10  781    0.7827  0.0994  0.2988
  -2.853 -2.650  5  10  956    0.7921  0.1042 -0.4596
  -2.650 -2.500  5  10 1108    0.8315  0.1014 -0.1382
  -2.500 -2.322  5  10 1321    0.9179  0.0427 -0.5000
  -2.322 -2.172  5  10 1529    0.9638  0.0353 -0.4822
  -2.172 -2.043  5  10 1733    0.9488  0.0351 -0.2694
  -2.043 -1.930  5  10 1933    0.9402  0.0450 -0.2180
  -1.930 -1.830  5  10 2126    0.9380  0.0424 -0.2017
  -1.830 -1.740  5  10 2315    0.9482  0.0387 -0.3113
  -1.740 -1.653  5  10 2511    0.9317  0.0539 -0.1107
  -1.653 -1.566  5  10 2721    0.9334  0.0486 -0.0997
  -1.566 -1.479  5  10 2946    0.9302  0.0270 -0.0883
  -1.479 -1.392  5  10 3183    0.9449  0.0367 -0.0149
  -1.392 -1.305  5  10 3435    0.9644  0.0582  0.0476
  -1.305 -1.218  5  10 3699    0.9741  0.0510  0.0349
  -1.218 -1.131  5  10 3974    0.9741  0.0307  0.0400
  -1.131 -1.044  5  10 4259    0.9783  0.0173  0.0170
  -1.044 -0.957  5  10 4551    0.9790  0.0196  0.0315
  -0.957 -0.879  5  10 4816    0.9835  0.0093  0.0320
  -0.879 -0.783  5  10 5141    0.9923  0.0043 -0.0042
  -0.783 -0.696  5  10 5430    0.9949  0.0133  0.0337
  -0.696 -0.609  5  10 5708    1.0058 -0.0072 -0.0272
  -0.609 -0.522  5  10 5968    1.0058 -0.0076 -0.0070
  -0.522 -0.435  5  10 6203    1.0088 -0.0062 -0.0150
  -0.435 -0.348  5  10 6408    1.0144 -0.0107 -0.0215
  -0.348 -0.261  5  10 6574    1.0128 -0.0156 -0.0097
  -0.261 -0.174  5  10 6698    1.0155 -0.0210 -0.0170
  -0.174 -0.087  5  10 6774    1.0134 -0.0082  0.0207
  -0.087 -0.000  5  10 6800    1.0100 -0.0207  0.0295
  +0.000 +0.087  5  10 6800    1.0100 -0.0207  0.0295
  +0.087 +0.174  5  10 6774    1.0134 -0.0082  0.0207
  +0.174 +0.261  5  10 6698    1.0155 -0.0210 -0.0170
  +0.261 +0.348  5  10 6574    1.0128 -0.0156 -0.0097
  +0.348 +0.435  5  10 6408    1.0144 -0.0107 -0.0215
  +0.435 +0.522  5  10 6203    1.0088 -0.0062 -0.0150
  +0.522 +0.609  5  10 5968    1.0058 -0.0076 -0.0070
  +0.609 +0.696  5  10 5708    1.0058 -0.0072 -0.0272
  +0.696 +0.783  5  10 5430    0.9949  0.0133  0.0337
  +0.783 +0.879  5  10 5141    0.9923  0.0043 -0.0042
  +0.879 +0.957  5  10 4816    0.9835  0.0093  0.0320
  +0.957 +1.044  5  10 4551    0.9790  0.0196  0.0315
  +1.044 +1.131  5  10 4259    0.9783  0.0173  0.0170
  +1.131 +1.218  5  10 3974    0.9741  0.0307  0.0400
  +1.218 +1.305  5  10 3699    0.9741  0.0510  0.0349
  +1.305 +1.392  5  10 3435    0.9644  0.0582  0.0476
  +1.392 +1.479  5  10 3183    0.9449  0.0367 -0.0149
  +1.479 +1.566  5  10 2946    0.9302  0.0270 -0.0883
  +1.566 +1.653  5  10 2721    0.9334  0.0486 -0.0997
  +1.653 +1.740  5  10 2511    0.9317  0.0539 -0.1107
  +1.740 +1.830  5  10 2315    0.9482  0.0387 -0.3113
  +1.830 +1.930  5  10 2126    0.9380  0.0424 -0.2017
  +1.930 +2.043  5  10 1933    0.9402  0.0450 -0.2180
  +2.043 +2.172  5  10 1733    0.9488  0.0351 -0.2694
  +2.172 +2.322  5  10 1529    0.9638  0.0353 -0.4822
  +2.322 +2.500  5  10 1321    0.9179  0.0427 -0.5000
  +2.500 +2.650  5  10 1108    0.8315  0.1014 -0.1382
  +2.650 +2.853  5  10  956    0.7921  0.1042 -0.4596
  +2.853 +2.964  5  10  781    0.7827  0.0994  0.2988
  +2.964 +3.139  5  10  700    0.8830  0.0871  0.3620
  +3.139 +3.314  5  10  588    0.9546  0.0538  0.1017
  +3.314 +3.489  5  10  493    0.9743  0.0180 -0.0096
