{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    1.0890 -0.2784 -0.5000
  -4.889 -4.716  5  10  121    1.0300 -0.1740  0.0605
  -4.716 -4.538  5  10  145    0.9508  0.1619  0.3224
  -4.538 -4.363  5  10  173    0.9820 -0.1533 -0.2194
  -4.363 -4.191  5  10  205    0.9290 -0.0446  0.0568
  -4.191 -4.013  5  10  245    0.9883 -0.1343 -0.3569
  -4.013 -3.839  5  10  292    0.9082  0.1390  0.2859
  -3.839 -3.664  5  10  348    0.9443  0.0433  0.1104
  -3.664 -3.489  5  10  414    0.9407  0.0283  0.1548
  -3.489 -3.314  5  10  493    0.9743  0.0272 -0.0130
  -3.314 -3.139  5  10  588    0.9522  0.0618  0.1604
  -3.139 -2.964  5  10  700    0.8908  0.0809  0.3312
  -2.964 -2.853  5  10  781    0.7841  0.1117  0.3041
  -2.853 -2.650  5  10  956    0.8055  0.0970 -0.5000
  -2.650 -2.500  5  10 1108    0.8191  0.1199  0.0024
  -2.500 -2.322  5  10 1321    0.9212  0.0354 -0.4998
  -2.322 -2.172  5  10 1529    0.9655  0.0322 -0.4850
  -2.172 -2.043  5  10 1733    0.9496  0.0324 -0.2768
  -2.043 -1.930  5  10 1933    0.9488  0.0319 -0.2815
  -1.930 -1.830  5  10 2126    0.9380  0.0394 -0.2151
  -1.830 -1.740  5  10 2315    0.9469  0.0368 -0.3054
  -1.740 -1.653  5  10 2511    0.9300  0.0533 -0.1016
  -1.653 -1.566  5  10 2721    0.9299  0.0506 -0.0861
  -1.566 -1.479  5  10 2946    0.9272  0.0268 -0.0516
  -1.479 -1.392  5  10 3183    0.9471  0.0284 -0.0469
  -1.392 -1.305  5  10 3435    0.9607  0.0587  0.0763
  -1.305 -1.218  5  10 3699    0.9753  0.0487  0.0193
  -1.218 -1.131  5  10 3974    0.9738  0.0290  0.0289
  -1.131 -1.044  5  10 4259    0.9749  0.0194  0.0516
  -1.044 -0.957  5  10 4551    0.9752  0.0230  0.0598
  -0.957 -0.879  5  10 4816    0.9821  0.0102  0.0314
  -0.879 -0.783  5  10 5141    0.9932  0.0023 -0.0137
  -0.783 -0.696  5  10 5430    0.9915  0.0166  0.0549
  -0.696 -0.609  5  10 5708    1.0017 -0.0030 -0.0048
  -0.609 -0.522  5  10 5968    1.0062 -0.0084 -0.0088
  -0.522 -0.435  5  10 6203    1.0132 -0.0117 -0.0389
  -0.435 -0.348  5  10 6408    1.0171 -0.0128 -0.0287
  -0.348 -0.261  5  10 6574    1.0129 -0.0157 -0.0065
  -0.261 -0.174  5  10 6698    1.0163 -0.0193 -0.0301
  -0.174 -0.087  5  10 6774    1.0168 -0.0110  0.0132
  -0.087 -0.000  5  10 6800    1.0149 -0.0232 -0.0002
  +0.000 +0.087  5  10 6800    1.0149 -0.0232 -0.0002
  +0.087 +0.174  5  10 6774    1.0168 -0.0110  0.0132
  +0.174 +0.261  5  10 6698    1.0163 -0.0193 -0.0301
  +0.261 +0.348  5  10 6574    1.0129 -0.0157 -0.0065
  +0.348 +0.435  5  10 6408    1.0171 -0.0128 -0.0287
  +0.435 +0.522  5  10 6203    1.0132 -0.0117 -0.0389
  +0.522 +0.609  5  10 5968    1.0062 -0.0084 -0.0088
  +0.609 +0.696  5  10 5708    1.0017 -0.0030 -0.0048
  +0.696 +0.783  5  10 5430    0.9915  0.0166  0.0549
  +0.783 +0.879  5  10 5141    0.9932  0.0023 -0.0137
  +0.879 +0.957  5  10 4816    0.9821  0.0102  0.0314
  +0.957 +1.044  5  10 4551    0.9752  0.0230  0.0598
